GEOID,NAME,Intent,Period,Count,Rate,Data_As_Of,TTM_Date_Range
15,Hawaii,All_Suicide,2020,184,12.7,04/04/2025,
15,Hawaii,All_Suicide,2021,202,14,04/04/2025,
15,Hawaii,All_Suicide,2022,246,17.1,04/04/2025,
15,Hawaii,All_Suicide,2023,223,15.5,04/04/2025,
15,Hawaii,All_Suicide,TTM,201,14,04/04/2025,"December, 2023 to November, 2024"
15,Hawaii,Drug_OD,2019,214,15.1,04/04/2025,
15,Hawaii,Drug_OD,2020,253,17.4,04/04/2025,
15,Hawaii,Drug_OD,2021,249,17.2,04/04/2025,
15,Hawaii,Drug_OD,2022,260,18.1,04/04/2025,
15,Hawaii,Drug_OD,2023,302,21,04/04/2025,
15,Hawaii,Drug_OD,TTM,297,20.7,04/04/2025,"October, 2023 to September, 2024"
15,Hawaii,FA_Deaths,2019,62,4.4,04/04/2025,
15,Hawaii,FA_Deaths,2020,50,3.4,04/04/2025,
15,Hawaii,FA_Deaths,2021,71,4.9,04/04/2025,
15,Hawaii,FA_Deaths,2022,66,4.6,04/04/2025,
15,Hawaii,FA_Deaths,2023,73,5.1,04/04/2025,
15,Hawaii,FA_Deaths,TTM,60,4.2,04/04/2025,"December, 2023 to November, 2024"
15,Hawaii,FA_Homicide,2019,14,1,04/04/2025,
15,Hawaii,FA_Homicide,2020,16,1.1,04/04/2025,
15,Hawaii,FA_Homicide,2021,23,1.6,04/04/2025,
15,Hawaii,FA_Homicide,2022,18,1.3,04/04/2025,
15,Hawaii,FA_Homicide,2023,20,1.4,04/04/2025,
15,Hawaii,FA_Homicide,TTM,20,1.4,04/04/2025,"December, 2023 to November, 2024"
15,Hawaii,FA_Suicide,2019,41,2.9,04/04/2025,
15,Hawaii,FA_Suicide,2020,31,2.1,04/04/2025,
15,Hawaii,FA_Suicide,2021,42,2.9,04/04/2025,
15,Hawaii,FA_Suicide,2022,45,3.1,04/04/2025,
15,Hawaii,FA_Suicide,2023,50,3.5,04/04/2025,
15,Hawaii,FA_Suicide,TTM,34,2.4,04/04/2025,"December, 2023 to November, 2024"
16,Idaho,All_Homicide,2019,27,1.5,04/04/2025,
16,Idaho,All_Homicide,2020,42,2.3,04/04/2025,
16,Idaho,All_Homicide,2021,41,2.2,04/04/2025,
16,Idaho,All_Homicide,2022,49,2.5,04/04/2025,
16,Idaho,All_Homicide,2023,49,2.5,04/04/2025,
16,Idaho,All_Homicide,TTM,39,2,04/04/2025,"December, 2023 to November, 2024"
16,Idaho,All_Suicide,2019,365,20.4,04/04/2025,
16,Idaho,All_Suicide,2020,419,22.7,04/04/2025,
16,Idaho,All_Suicide,2021,387,20.3,04/04/2025,
16,Idaho,All_Suicide,2022,444,22.9,04/04/2025,
16,Idaho,All_Suicide,2023,460,23.4,04/04/2025,
16,Idaho,All_Suicide,TTM,430,21.9,04/04/2025,"December, 2023 to November, 2024"
16,Idaho,Drug_OD,2019,230,12.9,04/04/2025,
16,Idaho,Drug_OD,2020,248,13.4,04/04/2025,
16,Idaho,Drug_OD,2021,329,17.3,04/04/2025,
16,Idaho,Drug_OD,2022,334,17.2,04/04/2025,
16,Idaho,Drug_OD,2023,345,17.6,04/04/2025,
16,Idaho,Drug_OD,TTM,323,16.4,04/04/2025,"October, 2023 to September, 2024"
16,Idaho,FA_Deaths,2019,255,14.3,04/04/2025,
16,Idaho,FA_Deaths,2020,321,17.4,04/04/2025,
16,Idaho,FA_Deaths,2021,309,16.2,04/04/2025,
16,Idaho,FA_Deaths,2022,338,17.4,04/04/2025,
16,Idaho,FA_Deaths,2023,356,18.1,04/04/2025,
16,Idaho,FA_Deaths,TTM,325,16.5,04/04/2025,"December, 2023 to November, 2024"
16,Idaho,FA_Homicide,2019,18,1,04/04/2025,
16,Idaho,FA_Homicide,2020,26,1.4,04/04/2025,
16,Idaho,FA_Homicide,2021,28,1.5,04/04/2025,
16,Idaho,FA_Homicide,2022,38,2,04/04/2025,
16,Idaho,FA_Homicide,2023,33,1.7,04/04/2025,
16,Idaho,FA_Homicide,TTM,28,1.4,04/04/2025,"December, 2023 to November, 2024"
16,Idaho,FA_Suicide,2019,223,12.5,04/04/2025,
16,Idaho,FA_Suicide,2020,277,15,04/04/2025,
16,Idaho,FA_Suicide,2021,262,13.8,04/04/2025,
16,Idaho,FA_Suicide,2022,285,14.7,04/04/2025,
16,Idaho,FA_Suicide,2023,304,15.5,04/04/2025,
16,Idaho,FA_Suicide,TTM,278,14.1,04/04/2025,"December, 2023 to November, 2024"
17,Illinois,All_Homicide,2019,979,7.7,04/04/2025,
17,Illinois,All_Homicide,2020,1353,10.6,04/04/2025,
17,Illinois,All_Homicide,2021,1487,11.7,04/04/2025,
17,Illinois,All_Homicide,2022,1312,10.4,04/04/2025,
17,Illinois,All_Homicide,2023,1171,9.300000000000001,04/04/2025,
17,Illinois,All_Homicide,TTM,1060,8.4,04/04/2025,"December, 2023 to November, 2024"
17,Illinois,All_Suicide,2019,1439,11.4,04/04/2025,
17,Illinois,All_Suicide,2020,1362,10.6,04/04/2025,
17,Illinois,All_Suicide,2021,1454,11.5,04/04/2025,
17,Illinois,All_Suicide,2022,1533,12.2,04/04/2025,
17,Illinois,All_Suicide,2023,1567,12.5,04/04/2025,
17,Illinois,All_Suicide,TTM,1425,11.4,04/04/2025,"December, 2023 to November, 2024"
17,Illinois,Drug_OD,2019,2605,20.6,04/04/2025,
17,Illinois,Drug_OD,2020,3394,26.5,04/04/2025,
17,Illinois,Drug_OD,2021,3585,28.2,04/04/2025,
17,Illinois,Drug_OD,2022,3675,29.2,04/04/2025,
17,Illinois,Drug_OD,2023,3374,26.9,04/04/2025,
17,Illinois,Drug_OD,TTM,2697,21.5,04/04/2025,"October, 2023 to September, 2024"
17,Illinois,FA_Deaths,2019,1367,10.8,04/04/2025,
17,Illinois,FA_Deaths,2020,1745,13.6,04/04/2025,
17,Illinois,FA_Deaths,2021,1995,15.7,04/04/2025,
17,Illinois,FA_Deaths,2022,1798,14.3,04/04/2025,
17,Illinois,FA_Deaths,2023,1691,13.5,04/04/2025,
17,Illinois,FA_Deaths,TTM,1566,12.5,04/04/2025,"December, 2023 to November, 2024"
17,Illinois,FA_Homicide,2019,791,6.2,04/04/2025,
17,Illinois,FA_Homicide,2020,1167,9.1,04/04/2025,
17,Illinois,FA_Homicide,2021,1292,10.2,04/04/2025,
17,Illinois,FA_Homicide,2022,1091,8.699999999999999,04/04/2025,
17,Illinois,FA_Homicide,2023,962,7.7,04/04/2025,
17,Illinois,FA_Homicide,TTM,876,7,04/04/2025,"December, 2023 to November, 2024"
17,Illinois,FA_Suicide,2019,540,4.3,04/04/2025,
17,Illinois,FA_Suicide,2020,543,4.2,04/04/2025,
17,Illinois,FA_Suicide,2021,656,5.2,04/04/2025,
17,Illinois,FA_Suicide,2022,676,5.4,04/04/2025,
17,Illinois,FA_Suicide,2023,688,5.5,04/04/2025,
17,Illinois,FA_Suicide,TTM,650,5.2,04/04/2025,"December, 2023 to November, 2024"
18,Indiana,All_Homicide,2019,466,6.9,04/04/2025,
18,Indiana,All_Homicide,2020,620,9.1,04/04/2025,
18,Indiana,All_Homicide,2021,624,9.199999999999999,04/04/2025,
18,Indiana,All_Homicide,2022,553,8.1,04/04/2025,
18,Indiana,All_Homicide,2023,523,7.6,04/04/2025,
18,Indiana,All_Homicide,TTM,489,7.1,04/04/2025,"December, 2023 to November, 2024"
18,Indiana,All_Suicide,2019,972,14.4,04/04/2025,
18,Indiana,All_Suicide,2020,1024,15.1,04/04/2025,
18,Indiana,All_Suicide,2021,1129,16.6,04/04/2025,
18,Indiana,All_Suicide,2022,1152,16.9,04/04/2025,
18,Indiana,All_Suicide,2023,1187,17.3,04/04/2025,
18,Indiana,All_Suicide,TTM,1181,17.2,04/04/2025,"December, 2023 to November, 2024"
18,Indiana,Drug_OD,2019,1618,24,04/04/2025,
18,Indiana,Drug_OD,2020,2241,33,04/04/2025,
18,Indiana,Drug_OD,2021,2718,39.9,04/04/2025,
18,Indiana,Drug_OD,2022,2580,37.8,04/04/2025,
18,Indiana,Drug_OD,2023,2153,31.4,04/04/2025,
18,Indiana,Drug_OD,TTM,1739,25.3,04/04/2025,"October, 2023 to September, 2024"
18,Indiana,FA_Deaths,2019,958,14.2,04/04/2025,
18,Indiana,FA_Deaths,2020,1159,17.1,04/04/2025,
18,Indiana,FA_Deaths,2021,1251,18.4,04/04/2025,
18,Indiana,FA_Deaths,2022,1211,17.7,04/04/2025,
18,Indiana,FA_Deaths,2023,1258,18.3,04/04/2025,
18,Indiana,FA_Deaths,TTM,1204,17.5,04/04/2025,"December, 2023 to November, 2024"
18,Indiana,FA_Homicide,2019,355,5.3,04/04/2025,
18,Indiana,FA_Homicide,2020,496,7.3,04/04/2025,
18,Indiana,FA_Homicide,2021,517,7.6,04/04/2025,
18,Indiana,FA_Homicide,2022,468,6.8,04/04/2025,
18,Indiana,FA_Homicide,2023,436,6.4,04/04/2025,
18,Indiana,FA_Homicide,TTM,388,5.7,04/04/2025,"December, 2023 to November, 2024"
18,Indiana,FA_Suicide,2019,570,8.5,04/04/2025,
18,Indiana,FA_Suicide,2020,609,9,04/04/2025,
18,Indiana,FA_Suicide,2021,695,10.2,04/04/2025,
18,Indiana,FA_Suicide,2022,692,10.1,04/04/2025,
18,Indiana,FA_Suicide,2023,757,11,04/04/2025,
18,Indiana,FA_Suicide,TTM,770,11.2,04/04/2025,"December, 2023 to November, 2024"
19,Iowa,All_Homicide,2019,80,2.5,04/04/2025,
19,Iowa,All_Homicide,2020,106,3.3,04/04/2025,
19,Iowa,All_Homicide,2021,94,2.9,04/04/2025,
19,Iowa,All_Homicide,2022,90,2.8,04/04/2025,
19,Iowa,All_Homicide,2023,101,3.1,04/04/2025,
19,Iowa,All_Homicide,TTM,104,3.2,04/04/2025,"December, 2023 to November, 2024"
19,Iowa,All_Suicide,2019,528,16.7,04/04/2025,
19,Iowa,All_Suicide,2020,552,17.3,04/04/2025,
19,Iowa,All_Suicide,2021,549,17.2,04/04/2025,
19,Iowa,All_Suicide,2022,590,18.4,04/04/2025,
19,Iowa,All_Suicide,2023,504,15.7,04/04/2025,
19,Iowa,All_Suicide,TTM,545,17,04/04/2025,"December, 2023 to November, 2024"
19,Iowa,Drug_OD,2019,287,9.1,04/04/2025,
19,Iowa,Drug_OD,2020,360,11.3,04/04/2025,
19,Iowa,Drug_OD,2021,426,13.3,04/04/2025,
19,Iowa,Drug_OD,2022,394,12.3,04/04/2025,
19,Iowa,Drug_OD,2023,391,12.2,04/04/2025,
19,Iowa,Drug_OD,TTM,355,11.1,04/04/2025,"October, 2023 to September, 2024"
19,Iowa,FA_Deaths,2019,294,9.300000000000001,04/04/2025,
19,Iowa,FA_Deaths,2020,351,11,04/04/2025,
19,Iowa,FA_Deaths,2021,364,11.4,04/04/2025,
19,Iowa,FA_Deaths,2022,367,11.5,04/04/2025,
19,Iowa,FA_Deaths,2023,341,10.6,04/04/2025,
19,Iowa,FA_Deaths,TTM,393,12.3,04/04/2025,"December, 2023 to November, 2024"
19,Iowa,FA_Homicide,2019,49,1.6,04/04/2025,
19,Iowa,FA_Homicide,2020,83,2.6,04/04/2025,
19,Iowa,FA_Homicide,2021,64,2,04/04/2025,
19,Iowa,FA_Homicide,2022,65,2,04/04/2025,
19,Iowa,FA_Homicide,2023,73,2.3,04/04/2025,
19,Iowa,FA_Homicide,TTM,67,2.1,04/04/2025,"December, 2023 to November, 2024"
19,Iowa,FA_Suicide,2019,233,7.4,04/04/2025,
19,Iowa,FA_Suicide,2020,260,8.1,04/04/2025,
19,Iowa,FA_Suicide,2021,293,9.199999999999999,04/04/2025,
19,Iowa,FA_Suicide,2022,288,9,04/04/2025,
19,Iowa,FA_Suicide,2023,266,8.300000000000001,04/04/2025,
19,Iowa,FA_Suicide,TTM,322,10,04/04/2025,"December, 2023 to November, 2024"
20,Kansas,All_Homicide,2019,137,4.7,04/04/2025,
20,Kansas,All_Homicide,2020,195,6.6,04/04/2025,
20,Kansas,All_Homicide,2021,180,6.1,04/04/2025,
20,Kansas,All_Homicide,2022,161,5.5,04/04/2025,
20,Kansas,All_Homicide,2023,186,6.3,04/04/2025,
20,Kansas,All_Homicide,TTM,158,5.4,04/04/2025,"December, 2023 to November, 2024"
20,Kansas,All_Suicide,2019,523,18,04/04/2025,
20,Kansas,All_Suicide,2020,531,18.1,04/04/2025,
20,Kansas,All_Suicide,2021,560,19.1,04/04/2025,
20,Kansas,All_Suicide,2022,596,20.3,04/04/2025,
20,Kansas,All_Suicide,2023,569,19.4,04/04/2025,
20,Kansas,All_Suicide,TTM,526,17.9,04/04/2025,"December, 2023 to November, 2024"
20,Kansas,Drug_OD,2019,356,12.2,04/04/2025,
20,Kansas,Drug_OD,2020,443,15.1,04/04/2025,
20,Kansas,Drug_OD,2021,634,21.6,04/04/2025,
20,Kansas,Drug_OD,2022,694,23.6,04/04/2025,
20,Kansas,Drug_OD,2023,587,20,04/04/2025,
20,Kansas,Drug_OD,TTM,522,17.8,04/04/2025,"October, 2023 to September, 2024"
20,Kansas,FA_Deaths,2019,403,13.8,04/04/2025,
20,Kansas,FA_Deaths,2020,494,16.8,04/04/2025,
20,Kansas,FA_Deaths,2021,503,17.1,04/04/2025,
20,Kansas,FA_Deaths,2022,492,16.8,04/04/2025,
20,Kansas,FA_Deaths,2023,475,16.2,04/04/2025,
20,Kansas,FA_Deaths,TTM,439,14.9,04/04/2025,"December, 2023 to November, 2024"
20,Kansas,FA_Homicide,2019,99,3.4,04/04/2025,
20,Kansas,FA_Homicide,2020,160,5.4,04/04/2025,
20,Kansas,FA_Homicide,2021,145,4.9,04/04/2025,
20,Kansas,FA_Homicide,2022,127,4.3,04/04/2025,
20,Kansas,FA_Homicide,2023,139,4.7,04/04/2025,
20,Kansas,FA_Homicide,TTM,124,4.2,04/04/2025,"December, 2023 to November, 2024"
20,Kansas,FA_Suicide,2019,291,10,04/04/2025,
20,Kansas,FA_Suicide,2020,314,10.7,04/04/2025,
20,Kansas,FA_Suicide,2021,345,11.7,04/04/2025,
20,Kansas,FA_Suicide,2022,349,11.9,04/04/2025,
20,Kansas,FA_Suicide,2023,320,10.9,04/04/2025,
20,Kansas,FA_Suicide,TTM,307,10.4,04/04/2025,"December, 2023 to November, 2024"
21,Kentucky,All_Homicide,2019,250,5.6,04/04/2025,
21,Kentucky,All_Homicide,2020,404,9,04/04/2025,
21,Kentucky,All_Homicide,2021,408,9.1,04/04/2025,
21,Kentucky,All_Homicide,2022,348,7.7,04/04/2025,
21,Kentucky,All_Homicide,2023,316,7,04/04/2025,
21,Kentucky,All_Homicide,TTM,310,6.8,04/04/2025,"December, 2023 to November, 2024"
21,Kentucky,All_Suicide,2019,756,16.9,04/04/2025,
21,Kentucky,All_Suicide,2020,801,17.8,04/04/2025,
21,Kentucky,All_Suicide,2021,816,18.1,04/04/2025,
21,Kentucky,All_Suicide,2022,823,18.2,04/04/2025,
21,Kentucky,All_Suicide,2023,813,18,04/04/2025,
21,Kentucky,All_Suicide,TTM,849,18.8,04/04/2025,"December, 2023 to November, 2024"
21,Kentucky,Drug_OD,2019,1312,29.4,04/04/2025,
21,Kentucky,Drug_OD,2020,2038,45.2,04/04/2025,
21,Kentucky,Drug_OD,2021,2332,51.7,04/04/2025,
21,Kentucky,Drug_OD,2022,2208,48.9,04/04/2025,
21,Kentucky,Drug_OD,2023,2017,44.6,04/04/2025,
21,Kentucky,Drug_OD,TTM,1556,34.4,04/04/2025,"October, 2023 to September, 2024"
21,Kentucky,FA_Deaths,2019,682,15.3,04/04/2025,
21,Kentucky,FA_Deaths,2020,902,20,04/04/2025,
21,Kentucky,FA_Deaths,2021,947,21,04/04/2025,
21,Kentucky,FA_Deaths,2022,840,18.6,04/04/2025,
21,Kentucky,FA_Deaths,2023,841,18.6,04/04/2025,
21,Kentucky,FA_Deaths,TTM,869,19.2,04/04/2025,"December, 2023 to November, 2024"
21,Kentucky,FA_Homicide,2019,201,4.5,04/04/2025,
21,Kentucky,FA_Homicide,2020,341,7.6,04/04/2025,
21,Kentucky,FA_Homicide,2021,364,8.1,04/04/2025,
21,Kentucky,FA_Homicide,2022,283,6.3,04/04/2025,
21,Kentucky,FA_Homicide,2023,260,5.7,04/04/2025,
21,Kentucky,FA_Homicide,TTM,262,5.8,04/04/2025,"December, 2023 to November, 2024"
21,Kentucky,FA_Suicide,2019,445,10,04/04/2025,
21,Kentucky,FA_Suicide,2020,518,11.5,04/04/2025,
21,Kentucky,FA_Suicide,2021,534,11.8,04/04/2025,
21,Kentucky,FA_Suicide,2022,527,11.7,04/04/2025,
21,Kentucky,FA_Suicide,2023,542,12,04/04/2025,
21,Kentucky,FA_Suicide,TTM,572,12.6,04/04/2025,"December, 2023 to November, 2024"
22,Louisiana,All_Homicide,2019,650,14,04/04/2025,
22,Louisiana,All_Homicide,2020,873,18.8,04/04/2025,
22,Louisiana,All_Homicide,2021,943,20.4,04/04/2025,
22,Louisiana,All_Homicide,2022,862,18.8,04/04/2025,
22,Louisiana,All_Homicide,2023,837,18.3,04/04/2025,
22,Louisiana,All_Homicide,TTM,669,14.6,04/04/2025,"December, 2023 to November, 2024"
22,Louisiana,All_Suicide,2019,704,15.1,04/04/2025,
22,Louisiana,All_Suicide,2020,642,13.8,04/04/2025,
22,Louisiana,All_Suicide,2021,689,14.9,04/04/2025,
22,Louisiana,All_Suicide,2022,726,15.8,04/04/2025,
22,Louisiana,All_Suicide,2023,719,15.7,04/04/2025,
22,Louisiana,All_Suicide,TTM,657,14.4,04/04/2025,"December, 2023 to November, 2024"
22,Louisiana,Drug_OD,2019,1212,26.1,04/04/2025,
22,Louisiana,Drug_OD,2020,1847,39.7,04/04/2025,
22,Louisiana,Drug_OD,2021,2419,52.3,04/04/2025,
22,Louisiana,Drug_OD,2022,2330,50.8,04/04/2025,
22,Louisiana,Drug_OD,2023,2167,47.4,04/04/2025,
22,Louisiana,Drug_OD,TTM,1642,35.9,04/04/2025,"October, 2023 to September, 2024"
22,Louisiana,FA_Deaths,2019,1013,21.8,04/04/2025,
22,Louisiana,FA_Deaths,2020,1183,25.4,04/04/2025,
22,Louisiana,FA_Deaths,2021,1314,28.4,04/04/2025,
22,Louisiana,FA_Deaths,2022,1266,27.6,04/04/2025,
22,Louisiana,FA_Deaths,2023,1261,27.6,04/04/2025,
22,Louisiana,FA_Deaths,TTM,1048,22.9,04/04/2025,"December, 2023 to November, 2024"
22,Louisiana,FA_Homicide,2019,542,11.7,04/04/2025,
22,Louisiana,FA_Homicide,2020,747,16.1,04/04/2025,
22,Louisiana,FA_Homicide,2021,804,17.4,04/04/2025,
22,Louisiana,FA_Homicide,2022,740,16.1,04/04/2025,
22,Louisiana,FA_Homicide,2023,738,16.1,04/04/2025,
22,Louisiana,FA_Homicide,TTM,577,12.6,04/04/2025,"December, 2023 to November, 2024"
22,Louisiana,FA_Suicide,2019,446,9.6,04/04/2025,
22,Louisiana,FA_Suicide,2020,406,8.699999999999999,04/04/2025,
22,Louisiana,FA_Suicide,2021,463,10,04/04/2025,
22,Louisiana,FA_Suicide,2022,488,10.6,04/04/2025,
22,Louisiana,FA_Suicide,2023,485,10.6,04/04/2025,
22,Louisiana,FA_Suicide,TTM,445,9.699999999999999,04/04/2025,"December, 2023 to November, 2024"
23,Maine,All_Homicide,2019,23,1.7,04/04/2025,
23,Maine,All_Homicide,2020,21,1.5,04/04/2025,
23,Maine,All_Homicide,2021,20,1.5,04/04/2025,
23,Maine,All_Homicide,2022,32,2.3,04/04/2025,
23,Maine,All_Homicide,2023,48,3.4,04/04/2025,
23,Maine,All_Homicide,TTM,27,1.9,04/04/2025,"December, 2023 to November, 2024"
23,Maine,All_Suicide,2019,276,20.5,04/04/2025,
23,Maine,All_Suicide,2020,234,17.1,04/04/2025,
23,Maine,All_Suicide,2021,277,20.1,04/04/2025,
23,Maine,All_Suicide,2022,268,19.3,04/04/2025,
23,Maine,All_Suicide,2023,274,19.6,04/04/2025,
23,Maine,All_Suicide,TTM,292,20.9,04/04/2025,"December, 2023 to November, 2024"
23,Maine,Drug_OD,2019,339,25.2,04/04/2025,
23,Maine,Drug_OD,2020,464,34,04/04/2025,
23,Maine,Drug_OD,2021,592,42.9,04/04/2025,
23,Maine,Drug_OD,2022,678,48.8,04/04/2025,
23,Maine,Drug_OD,2023,564,40.4,04/04/2025,
23,Maine,Drug_OD,TTM,483,34.6,04/04/2025,"October, 2023 to September, 2024"
23,Maine,FA_Deaths,2019,163,12.1,04/04/2025,
23,Maine,FA_Deaths,2020,153,11.2,04/04/2025,
23,Maine,FA_Deaths,2021,178,12.9,04/04/2025,
23,Maine,FA_Deaths,2022,179,12.9,04/04/2025,
23,Maine,FA_Deaths,2023,200,14.3,04/04/2025,
23,Maine,FA_Deaths,TTM,189,13.5,04/04/2025,"December, 2023 to November, 2024"
23,Maine,FA_Homicide,2019,13,1,04/04/2025,
23,Maine,FA_Homicide,2020,15,1.1,04/04/2025,
23,Maine,FA_Homicide,2021,12,0.9,04/04/2025,
23,Maine,FA_Homicide,2022,19,1.4,04/04/2025,
23,Maine,FA_Homicide,2023,36,2.6,04/04/2025,
23,Maine,FA_Homicide,TTM,13,0.9,04/04/2025,"December, 2023 to November, 2024"
23,Maine,FA_Suicide,2019,144,10.7,04/04/2025,
23,Maine,FA_Suicide,2020,132,9.699999999999999,04/04/2025,
23,Maine,FA_Suicide,2021,158,11.5,04/04/2025,
23,Maine,FA_Suicide,2022,156,11.2,04/04/2025,
23,Maine,FA_Suicide,2023,158,11.3,04/04/2025,
23,Maine,FA_Suicide,TTM,167,12,04/04/2025,"December, 2023 to November, 2024"
24,Maryland,All_Homicide,2019,578,9.6,04/04/2025,
24,Maryland,All_Homicide,2020,649,10.5,04/04/2025,
24,Maryland,All_Homicide,2021,709,11.5,04/04/2025,
24,Maryland,All_Homicide,2022,658,10.7,04/04/2025,
24,Maryland,All_Homicide,2023,582,9.4,04/04/2025,
24,Maryland,All_Homicide,TTM,521,8.4,04/04/2025,"December, 2023 to November, 2024"
24,Maryland,All_Suicide,2019,657,10.9,04/04/2025,
24,Maryland,All_Suicide,2020,585,9.5,04/04/2025,
24,Maryland,All_Suicide,2021,620,10,04/04/2025,
24,Maryland,All_Suicide,2022,608,9.9,04/04/2025,
24,Maryland,All_Suicide,2023,599,9.699999999999999,04/04/2025,
24,Maryland,All_Suicide,TTM,637,10.3,04/04/2025,"December, 2023 to November, 2024"
24,Maryland,Drug_OD,2019,2287,37.8,04/04/2025,
24,Maryland,Drug_OD,2020,2703,43.8,04/04/2025,
24,Maryland,Drug_OD,2021,2679,43.4,04/04/2025,
24,Maryland,Drug_OD,2022,2496,40.5,04/04/2025,
24,Maryland,Drug_OD,2023,2476,40.1,04/04/2025,
24,Maryland,Drug_OD,TTM,2006,32.5,04/04/2025,"October, 2023 to September, 2024"
24,Maryland,FA_Deaths,2019,757,12.5,04/04/2025,
24,Maryland,FA_Deaths,2020,803,13,04/04/2025,
24,Maryland,FA_Deaths,2021,915,14.8,04/04/2025,
24,Maryland,FA_Deaths,2022,813,13.2,04/04/2025,
24,Maryland,FA_Deaths,2023,737,11.9,04/04/2025,
24,Maryland,FA_Deaths,TTM,720,11.7,04/04/2025,"December, 2023 to November, 2024"
24,Maryland,FA_Homicide,2019,468,7.7,04/04/2025,
24,Maryland,FA_Homicide,2020,526,8.5,04/04/2025,
24,Maryland,FA_Homicide,2021,592,9.6,04/04/2025,
24,Maryland,FA_Homicide,2022,539,8.699999999999999,04/04/2025,
24,Maryland,FA_Homicide,2023,461,7.5,04/04/2025,
24,Maryland,FA_Homicide,TTM,407,6.6,04/04/2025,"December, 2023 to November, 2024"
24,Maryland,FA_Suicide,2019,268,4.4,04/04/2025,
24,Maryland,FA_Suicide,2020,267,4.3,04/04/2025,
24,Maryland,FA_Suicide,2021,310,5,04/04/2025,
24,Maryland,FA_Suicide,2022,269,4.4,04/04/2025,
24,Maryland,FA_Suicide,2023,267,4.3,04/04/2025,
24,Maryland,FA_Suicide,TTM,305,4.9,04/04/2025,"December, 2023 to November, 2024"
25,Massachusetts,All_Homicide,2019,157,2.3,04/04/2025,
25,Massachusetts,All_Homicide,2020,183,2.6,04/04/2025,
25,Massachusetts,All_Homicide,2021,160,2.3,04/04/2025,
25,Massachusetts,All_Homicide,2022,171,2.4,04/04/2025,
25,Massachusetts,All_Homicide,2023,182,2.6,04/04/2025,
25,Massachusetts,All_Homicide,TTM,160,2.3,04/04/2025,"December, 2023 to November, 2024"
25,Massachusetts,All_Suicide,2019,647,9.4,04/04/2025,
25,Massachusetts,All_Suicide,2020,618,8.800000000000001,04/04/2025,
25,Massachusetts,All_Suicide,2021,604,8.6,04/04/2025,
25,Massachusetts,All_Suicide,2022,626,9,04/04/2025,
25,Massachusetts,All_Suicide,2023,658,9.4,04/04/2025,
25,Massachusetts,All_Suicide,TTM,650,9.300000000000001,04/04/2025,"December, 2023 to November, 2024"
25,Massachusetts,Drug_OD,2019,2127,30.9,04/04/2025,
25,Massachusetts,Drug_OD,2020,2217,31.7,04/04/2025,
25,Massachusetts,Drug_OD,2021,2493,35.7,04/04/2025,
25,Massachusetts,Drug_OD,2022,2531,36.2,04/04/2025,
25,Massachusetts,Drug_OD,2023,2293,32.8,04/04/2025,
25,Massachusetts,Drug_OD,TTM,1702,24.3,04/04/2025,"October, 2023 to September, 2024"
25,Massachusetts,FA_Deaths,2019,247,3.6,04/04/2025,
25,Massachusetts,FA_Deaths,2020,268,3.8,04/04/2025,
25,Massachusetts,FA_Deaths,2021,247,3.5,04/04/2025,
25,Massachusetts,FA_Deaths,2022,263,3.8,04/04/2025,
25,Massachusetts,FA_Deaths,2023,270,3.9,04/04/2025,
25,Massachusetts,FA_Deaths,TTM,285,4.1,04/04/2025,"December, 2023 to November, 2024"
25,Massachusetts,FA_Homicide,2019,95,1.4,04/04/2025,
25,Massachusetts,FA_Homicide,2020,130,1.9,04/04/2025,
25,Massachusetts,FA_Homicide,2021,99,1.4,04/04/2025,
25,Massachusetts,FA_Homicide,2022,106,1.5,04/04/2025,
25,Massachusetts,FA_Homicide,2023,121,1.7,04/04/2025,
25,Massachusetts,FA_Homicide,TTM,98,1.4,04/04/2025,"December, 2023 to November, 2024"
25,Massachusetts,FA_Suicide,2019,142,2.1,04/04/2025,
25,Massachusetts,FA_Suicide,2020,134,1.9,04/04/2025,
25,Massachusetts,FA_Suicide,2021,136,1.9,04/04/2025,
25,Massachusetts,FA_Suicide,2022,149,2.1,04/04/2025,
25,Massachusetts,FA_Suicide,2023,147,2.1,04/04/2025,
25,Massachusetts,FA_Suicide,TTM,180,2.6,04/04/2025,"December, 2023 to November, 2024"
26,Michigan,All_Homicide,2019,612,6.1,04/04/2025,
26,Michigan,All_Homicide,2020,811,8.1,04/04/2025,
26,Michigan,All_Homicide,2021,822,8.199999999999999,04/04/2025,
26,Michigan,All_Homicide,2022,801,8,04/04/2025,
26,Michigan,All_Homicide,2023,637,6.3,04/04/2025,
26,Michigan,All_Homicide,TTM,536,5.3,04/04/2025,"December, 2023 to November, 2024"
26,Michigan,All_Suicide,2019,1472,14.7,04/04/2025,
26,Michigan,All_Suicide,2020,1444,14.3,04/04/2025,
26,Michigan,All_Suicide,2021,1485,14.8,04/04/2025,
26,Michigan,All_Suicide,2022,1503,15,04/04/2025,
26,Michigan,All_Suicide,2023,1529,15.2,04/04/2025,
26,Michigan,All_Suicide,TTM,1428,14.2,04/04/2025,"December, 2023 to November, 2024"
26,Michigan,Drug_OD,2019,2226,22.3,04/04/2025,
26,Michigan,Drug_OD,2020,2613,25.9,04/04/2025,
26,Michigan,Drug_OD,2021,2940,29.3,04/04/2025,
26,Michigan,Drug_OD,2022,2849,28.4,04/04/2025,
